ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
97.6596,2.63255,97.6596
90.5814,2.41995,97.6596
93.0448,0.884514,97.6596
91.6431,1.39108,97.6596
87.0342,1.11024,97.6596
86.3539,1.14173,97.6596
84.6174,2.08136,97.6596
80.512,2.32283,97.6596
76.8977,4.58793,97.6596
78.3441,0.800525,97.6596
73.6905,1.80577,97.6596
74.9669,2.46457,97.6596
70.1691,1.97113,97.6596
68.3175,3.86614,97.6596
66.3609,1.51969,97.6596
65.8061,4.40682,97.6596
64.7702,3.37008,97.6596
61.1758,1.45144,97.6596
57.3935,1.84514,97.6596
55.1492,2.45669,97.6596
49.5141,0.299213,97.6596
45.2283,1.14173,97.6596
40.739,1.4147,97.6596
32.9972,2.14961,97.6596
39.7736,1.55643,97.6596
28.38,0.952756,97.6596
9.22856,1.27034,97.6596
6.94062,0.548556,97.6596
0.850302,1.51706,97.6596
0.850302,1.51706,97.6596
96.0844,0.942257,97.6596
93.0448,0.543307,97.6596
85.1276,0.863517,97.6596
87.589,0.485564,97.6596
83.5524,1.60367,97.6596
84.0626,1.01837,97.6596
84.0626,2.83202,97.6596
80.682,0.43832,97.6596
81.7179,1.07874,97.6596
76.8977,1.17848,97.6596
80.031,1.5748,97.6596
80.512,1.93438,97.6596
76.4871,0.548556,97.6596
78.1036,0.383202,97.6596
73.6905,1,97.6596
66.9415,1.34646,97.6596
72.3146,1.80577,97.6596
62.2117,0.737533,97.6596
66.9415,0.209974,97.6596
60.3805,0.55643,97.6596
60.621,0.28084,97.6596
62.5518,0.375328,97.6596
57.9216,0.645669,97.6596
56.6428,0.44357,97.6596
54.1581,0.96063,97.6596
53.093,0.430446,97.6596
50.4795,0.391076,97.6596
47.8685,0.685039,97.6596
46.6334,1.36745,97.6596
50.4795,0.461942,97.6596
45.2283,0.593176,97.6596
44.433,1.89764,97.6596
42.3321,0.435696,97.6596
39.0933,0.393701,97.6596
38.1546,0.343832,97.6596
36.3914,0.593176,97.6596
27.6293,1.15748,97.6596
29.2749,0.296588,97.6596
26.2062,0.713911,97.6596
22.8008,0.314961,97.6596
21.4505,0.824147,97.6596
18.1,0.346457,97.6596
16.8941,0.485564,97.6596
4.81398,0.456693,97.6596
6.6005,0.511811,97.6596
16.4835,0.776903,97.6596
9.56868,0.435696,97.6596
1.71855,0.412073,97.6596
0,0.39895,97.6596
14.7829,0.107612,97.6596
