InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
3.29375,1.57834,179.773
7.82004,0.727818,179.773
11.1696,0.503997,179.773
13.9473,1.23901,179.773
20.2826,1.63669,179.773
28.7824,1.14548,179.773
32.1081,0.745803,179.773
44.3098,0.997602,179.773
49.4959,1.01998,179.773
57.2537,0.764988,179.773
62.3213,1.40727,179.773
86.7031,1.63669,179.773
109.63,1.39369,179.773
115.537,0.910871,179.773
135.804,1.63669,179.773
146.001,1.23421,179.773
159.392,1,179.773
179.773,0.584732,179.773
179.773,0.765787,179.773
179.773,0.765787,179.773
179.773,0.697842,179.773
