InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
5.5642,0.932513,125
10.07,0.987699,125
8.51873,0.400931,125
28.2922,1.36137,125
29.6121,1.21975,125
34.7803,1.36137,125
48.1833,0.469747,125
49.8938,1.02527,125
32.6905,1.36137,125
37.4482,1,125
41.7672,0.904588,125
68.0041,0.424867,125
71.7962,1.36137,125
73.4152,1.36137,125
75.158,1.36137,125
86.263,0.710771,125
88.7632,0.530918,125
97.8897,0.992021,125
103.97,1.36137,125
106.674,1.36137,125
108.125,0.895612,125
110.087,0.812832,125
115.55,0.976729,125
119.583,1.03823,125
118.582,1.04089,125
