ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
2.95536,0.585583,123
2.95536,0.683477,123
6.1735,0.800949,123
0,0.939187,123
20.1813,1.38831,123
18.6896,0.94868,123
9.60308,1.70691,123
12.5817,1.71818,123
16.7797,1.16939,123
22.4182,1.2388,123
22.139,1.5046,123
16.7797,1.68555,123
17.9478,1.40018,123
4.51482,0.9469,123
13.188,1.18066,123
10.3729,0.660931,123
11.2583,0.660931,123
15.752,0.739247,123
16.2658,1.71403,123
10.2093,0.561851,123
6.56832,0.728567,123
8.62183,1.13497,123
24.5762,2.41827,123
29.9518,2.42955,123
20.2969,1.74844,123
26.8377,1.13023,123
28.0502,1.38416,123
26.6742,1.50697,123
24.5762,0.469297,123
35.5606,2.39513,123
32.7969,1.35865,123
30.6457,0.671018,123
34.2359,2.11095,123
40.0987,0.612875,123
32.0551,1.26847,123
29.3736,1.28449,123
27.5596,1.50875,123
28.0502,1.41026,123
29.1423,2.12815,123
20.2969,0.991991,123
24.5762,1.57342,123
26.1836,0.786117,123
29.8362,1.23109,123
33.6577,1.99347,123
31.8916,2.42955,123
31.8916,1.66063,123
31.3909,1.37882,123
33.3108,1.54376,123
32.0551,1.14328,123
33.3108,2.42955,123
36.7252,1.53842,123
36.5617,2.08899,123
37.9774,2.24978,123
39.6081,1.23643,123
41.4946,2.39573,123
38.6993,0.717295,123
34.2359,1.42094,123
40.7529,1.19134,123
43.4208,0.520914,123
41.032,0.617028,123
41.7738,1.06081,123
42.7947,0.997923,123
42.0051,0.822901,123
43.4208,1.00208,123
45.0417,0.6283,123
44.599,0.869772,123
46.1338,0.84248,123
46.8276,1.77514,123
49.9069,2.42955,123
48.1558,1.10353,123
48.3194,0.735093,123
48.6464,1.05429,123
48.6464,0.948087,123
48.81,1.60842,123
53.1023,1.08158,123
51.8979,1.11777,123
53.7763,2.12578,123
52.7074,0.57431,123
56.965,1.45832,123
56.4545,0.724414,123
55.0319,1.06022,123
54.2388,1.45061,123
57.6588,0.933254,123
60.0346,1.82913,123
57.4275,1.09997,123
57.8901,0.765352,123
60.0346,1.40433,123
60.892,0.965292,123
61.3826,0.828241,123
62.574,0.843667,123
63.547,0.989617,123
63.2678,1.08751,123
64.4804,0.881637,123
65.6204,0.914862,123
68.5032,1.37111,123
67.3351,0.825274,123
65.6204,0.853753,123
66.7569,0.485909,123
68.1761,0.94156,123
73.8111,2.33165,123
72.539,1.39009,123
76.1403,1.54138,123
76.1403,1.25482,123
74.6486,0.698902,123
69.8793,0.834174,123
63.2678,0.641353,123
78.4977,1.77395,123
77.3529,0.711362,123
80.5033,1.33788,123
91.0469,0.333432,123
81.9423,1.45357,123
78.1706,0.510828,123
71.3942,0.598635,123
76.1403,0.743993,123
79.0116,0.983684,123
70.2741,0.57787,123
72.0484,0.57965,123
80.9658,0.821715,123
105.738,1.01216,123
85.5758,0.256897,123
91.0469,0.404628,123
89.4027,0.421833,123
94.419,0.405221,123
93.3269,0.358944,123
108.118,0.774844,123
92.813,0.361317,123
98.8375,0.396915,123
99.9678,0.408781,123
104.993,0.677544,123
105.738,0.786117,123
106.671,0.600415,123
110.577,2.05458,123
110.182,0.831801,123
108.748,0.723228,123
113.851,1.84159,123
111.598,0.553545,123
113.688,0.463364,123
116.288,2.21715,123
118.8,1.69327,123
118.521,0.364877,123
117.751,0.835954,123
115.845,0.563038,123
