ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
4.03584,1.12421,142
4.69001,1.27038,142
1.65525,0.631579,142
0.231282,0.956992,142
6.6525,1.61203,142
0,0.711579,142
1.32817,0.451729,142
4.85355,0.927519,142
7.34635,0.987068,142
8.48978,2.34406,142
6.16188,0.963008,142
8.37414,1.09654,142
8.37414,1.28782,142
9.82138,1.26556,142
10.312,1.20722,142
9.14395,1.86286,142
11.2454,1.37383,142
11.4089,1.18256,142
12.1787,1.20361,142
12.9683,1.10677,142
12.1787,0.721805,142
12.9683,1.32692,142
16.8605,1.87248,142
19.6838,1.13985,142
15.9271,1.4791,142
12.9683,0.973233,142
15.2531,1.4015,142
20.1977,0.503459,142
24.6945,1.78526,142
24.2074,2.44932,142
12.9683,0.848722,142
20.1977,1.49053,142
18.073,0.553383,142
25.838,0.760301,142
25.838,0.795188,142
25.838,1.10195,142
29.0992,2.46316,142
27.9825,1.39128,142
31.6878,2.19368,142
28.7523,1.10917,142
30.4753,2.07459,142
22.4989,1.15729,142
22.4989,1.34677,142
33.4341,1.59218,142
33.5976,1.04361,142
30.4753,1.29023,142
31.5243,1.75699,142
35.5834,1.68662,142
36.915,1.5597,142
32.9202,1.24271,142
32.9202,0.993684,142
41.1012,2.46316,142
38.4183,2.45233,142
37.9558,0.722406,142
32.1784,1.12421,142
33.4341,0.98406,142
32.9202,0.929323,142
34.7424,1.0003,142
39.4062,0.458947,142
35.5834,1.03398,142
37.6088,0.933534,142
43.4537,0.811429,142
44.6382,0.384361,142
36.4011,0.578647,142
43.1068,1.2403,142
45.3156,1.17714,142
41.6151,1.16571,142
39.4062,1.75278,142
37.9558,0.409624,142
44.4069,0.353684,142
45.1521,0.372932,142
52.1537,0.490226,142
46.4125,0.451128,142
47.5292,0.932932,142
48.1834,0.458947,142
47.0667,0.381955,142
51.653,0.499248,142
46.7396,1.07729,142
48.0198,0.254436,142
58.9332,0.999699,142
57.1472,0.761504,142
57.3785,1.05263,142
53.669,0.425263,142
49.1366,1.76722,142
48.3469,0.377744,142
60.3804,1.74857,142
61.5929,2.17263,142
50.6651,0.385564,142
66.1049,2.46316,142
67.5966,0.844511,142
66.6632,1.2018,142
74.0445,2.27368,142
72.2948,2.1197,142
68.5217,1.45985,142
61.3617,0.748872,142
69.4072,0.96782,142
70.1968,0.848722,142
74.7862,1.33955,142
69.8499,0.637594,142
71.0145,0.83188,142
71.2458,0.67188,142
73.5306,0.896842,142
77.9332,1.39368,142
77.4426,0.761504,142
75.8831,0.685113,142
82.0434,1.60722,142
79.5207,0.795789,142
63.3673,0.304962,142
63.3673,0.316992,142
81.6965,2.20992,142
82.9008,1.02677,142
81.1958,1.1585,142
84.5595,2.3603,142
79.8478,0.838496,142
85.8199,1.37564,142
84.5595,0.98406,142
87.0523,1.35579,142
84.5595,0.456541,142
87.0523,1.28602,142
93.3928,2.16481,142
91.199,1.76902,142
91.199,0.790977,142
88.6118,0.536541,142
91.199,1.17474,142
97.4998,1.93023,142
85.6564,0.564812,142
88.2847,0.919098,142
94.6765,0.597293,142
94.1626,0.556391,142
97.8269,0.609925,142
97.1727,0.611729,142
101.118,1.21263,142
102.35,1.38707,142
100.136,0.507669,142
98.7602,0.64782,142
100.021,0.72,142
99.3665,0.592481,142
105.401,1.77925,142
104.073,2.16361,142
103.515,0.827068,142
106.378,1.39188,142
108.758,1.53383,142
115.816,1.72451,142
114.93,1.65414,142
111.339,1.41835,142
111.339,0.566617,142
110.501,0.925113,142
109.596,0.609925,142
106.378,0.490226,142
117.511,0.673083,142
113.483,1.65414,142
114.301,0.667669,142
121.051,1.22767,142
117.048,1.30045,142
122.216,0.909474,142
119.006,0.956391,142
119.979,0.857744,142
117.048,0.832481,142
124.521,0.977444,142
126.992,1.73293,142
91.8053,0.685714,142
103.678,0.818045,142
108.758,0.531729,142
116.394,0.505865,142
129.692,1.33474,142
132.477,2.16842,142
129.692,1.28541,142
126.222,0.775338,142
137.525,1.0388,142
133.055,0.898647,142
126.829,0.456541,142
128.177,0.589474,142
