 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13
1,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
2,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
3,0,0,63.281,47.681,0,0,62.001,47.681,0,1,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
4,0,0,63.281,47.681,0,0,62.001,47.681,1,44,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
5,1,2,63.281,47.681,0,1,62.001,47.681,2,69,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
6,2,9,63.281,47.681,0,1,62.001,47.681,31,99,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
7,3,60,63.281,47.681,1,2,62.001,47.681,5,77,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
8,7,164,63.281,47.681,2,21,62.001,47.681,2,21,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
9,10,164,63.281,47.681,6,77,62.001,47.681,2,8,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
10,7,70,63.281,47.681,6,142,62.001,47.681,1,6,63.922,46.161,0,1,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
11,3,11,63.281,47.681,2,77,62.001,47.681,1,4,63.922,46.161,1,5,60.321,52.001,0,2,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
12,1,2,63.281,47.681,1,4,62.001,47.681,0,1,63.922,46.161,2,104,60.321,52.001,2,4,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
13,0,1,63.281,47.681,0,1,62.001,47.681,0,0,63.922,46.161,7,358,60.321,52.001,3,8,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,1,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
14,0,1,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,15,473,60.321,52.001,4,10,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,2,54.961,62.161,0,1,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
15,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,18,378,60.321,52.001,12,110,59.201,50.881,0,1,56.801,56.961,0,0,55.281,60.081,0,2,54.961,62.161,1,2,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
16,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,4,101,60.321,52.001,21,233,59.201,50.881,0,2,56.801,56.961,0,0,55.281,60.081,0,3,54.961,62.161,2,9,53.761,63.681,0,1,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
17,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,3,4,60.321,52.001,6,88,59.201,50.881,0,2,56.801,56.961,0,0,55.281,60.081,0,2,54.961,62.161,7,39,53.761,63.681,1,2,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
18,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,1,1,60.321,52.001,3,8,59.201,50.881,1,6,56.801,56.961,0,0,55.281,60.081,0,2,54.961,62.161,7,40,53.761,63.681,1,2,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
19,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,1,60.321,52.001,0,0,59.201,50.881,5,74,56.801,56.961,0,0,55.281,60.081,0,1,54.961,62.161,3,9,53.761,63.681,2,2,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
20,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,12,108,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,1,3,53.761,63.681,1,3,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
21,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,11,108,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,1,53.761,63.681,1,1,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
22,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,6,58,56.801,56.961,2,9,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
