 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10
1,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
2,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
3,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
4,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,1,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
5,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,1,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
6,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
7,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
8,0,0,2.560,18.960,0,0,5.040,21.761,0,1,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
9,0,0,2.560,18.960,0,0,5.040,21.761,0,3,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
10,0,0,2.560,18.960,0,0,5.040,21.761,1,6,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
11,0,0,2.560,18.960,0,1,5.040,21.761,1,9,11.440,35.361,0,0,10.240,32.161,0,1,14.480,38.961,0,1,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
12,0,0,2.560,18.960,0,1,5.040,21.761,2,8,11.440,35.361,0,0,10.240,32.161,0,1,14.480,38.961,0,1,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
13,0,1,2.560,18.960,0,1,5.040,21.761,2,10,11.440,35.361,0,0,10.240,32.161,0,4,14.480,38.961,1,5,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
14,0,0,2.560,18.960,0,0,5.040,21.761,4,26,11.440,35.361,0,0,10.240,32.161,0,4,14.480,38.961,1,7,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
15,0,0,2.560,18.960,0,0,5.040,21.761,4,49,11.440,35.361,0,0,10.240,32.161,1,3,14.480,38.961,0,4,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
16,0,0,2.560,18.960,0,0,5.040,21.761,3,55,11.440,35.361,0,1,10.240,32.161,1,10,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
17,0,0,2.560,18.960,0,0,5.040,21.761,1,20,11.440,35.361,0,1,10.240,32.161,0,9,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
18,0,0,2.560,18.960,0,0,5.040,21.761,0,3,11.440,35.361,0,1,10.240,32.161,0,7,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
19,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,1,10.240,32.161,0,2,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
20,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,1,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
21,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,8,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
22,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,19,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,2,31.281,71.042,2,4,31.601,72.082
23,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,19,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,2,31.281,71.042,2,15,31.601,72.082
24,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,1,5,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,2,31.281,71.042,2,17,31.601,72.082
25,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,3,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,1,31.281,71.042,1,7,31.601,72.082
26,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,1,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,2,31.601,72.082
27,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,1,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,2,28.881,63.521,0,0,31.281,71.042,0,1,31.601,72.082
28,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,1,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,3,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
29,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,1,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,3,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
30,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,3,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
