ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
20.4808,1.47507,98.0598
26.6597,1.98688,98.0598
28.4308,1.11286,98.0598
33.2963,2.02887,98.0598
29.4511,1.39108,98.0598
30.3719,1.03412,98.0598
32.7415,1.03412,98.0598
31.3106,1.03412,98.0598
35.3492,1.02887,98.0598
37.4783,0.868766,98.0598
45.0242,2.32546,98.0598
41.8233,2.22047,98.0598
32.7415,0.845144,98.0598
41.8233,2.12861,98.0598
38.1293,0.734908,98.0598
45.5052,1.50919,98.0598
45.8453,1.53543,98.0598
45.8453,3.44619,98.0598
40.5445,1.06562,98.0598
41.8233,1.50394,98.0598
39.9897,1.3937,98.0598
43.845,2.32546,98.0598
47.9933,0.464567,98.0598
51.2029,1.35171,98.0598
54.7793,2.14173,98.0598
57.5517,1.14436,98.0598
59.1269,1.54068,98.0598
60.2356,0.485564,98.0598
63.7328,1.51444,98.0598
60.2356,0.587927,98.0598
66.032,0.826772,98.0598
65.8619,1.02887,98.0598
63.2047,0.879265,98.0598
73.5712,2.14698,98.0598
68.7169,0.391076,98.0598
69.9486,1.10761,98.0598
76.8012,0.76378,98.0598
79.2893,0.929134,98.0598
90.2675,1.60105,98.0598
76.2731,2.27297,98.0598
74.85,0.149606,98.0598
22.8325,0.35958,98.0598
18.909,0.430446,98.0598
21.0614,1.47507,98.0598
18.3284,0.212598,98.0598
34.047,0.774278,98.0598
31.8208,0.706037,98.0598
16.1288,0.183727,98.0598
27.7505,0.183727,98.0598
31.8208,0.895013,98.0598
29.6212,1.39108,98.0598
36.8976,0.333333,98.0598
36.0473,0.787402,98.0598
41.8233,0.884514,98.0598
41.8233,0.698163,98.0598
48.9845,1.35696,98.0598
48.9845,0.572178,98.0598
53.984,0.616798,98.0598
56.3253,1.6273,98.0598
62.1139,0.362205,98.0598
64.1434,1.51444,98.0598
69.9486,0.742782,98.0598
79.1193,0.716535,98.0598
81.5602,0.595801,98.0598
83.2496,0.648294,98.0598
85.3942,0.456693,98.0598
84.0182,0.724409,98.0598
87.4684,0.304462,98.0598
86.9402,0.393701,98.0598
92.0487,0.902887,98.0598
96.2786,0.879265,98.0598
