InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
11.209,1.33253,155
11.209,1.63669,155
12.4811,0.491607,155
18.8731,1.45683,155
23.604,0.434053,155
25.832,0.515188,155
38.9986,1.48281,155
40.3466,0.414069,155
47.0798,1.13509,155
72.368,0.945244,155
74.4932,0.323341,155
75.6777,0.408473,155
76.8976,0.551159,155
83.4956,1.63669,155
84.9312,0.396882,155
96.5834,1.63669,155
96.2563,0.390887,155
109.211,1,155
120.125,0.441647,155
126.02,1.004,155
132.593,1.11111,155
128.792,0.682254,155
136.401,1.63669,155
146.183,1.52478,155
152.934,1.32734,155
