ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
2.2533,0.592687,155
3.55341,0.636872,155
11.3247,0.740985,155
6.04114,0.78517,155
5.39943,0.426105,155
13.729,0.803961,155
12.2498,0.881666,155
13.9603,1.35196,155
14.5385,0.996445,155
18.1033,1.05993,155
20.9306,1.16912,155
19.1044,1.15642,155
20.5836,0.861351,155
21.6244,0.631793,155
23.604,0.655663,155
21.3931,0.717623,155
24.9746,0.52514,155
27.7921,0.531234,155
33.0383,0.584561,155
31.906,0.669375,155
33.9915,0.946166,155
38.9986,1.05333,155
38.3923,0.566277,155
38.3923,1.24175,155
40.8726,0.529203,155
45.9249,0.733367,155
35.1238,0.467242,155
22.5776,0.714576,155
49.1018,0.704926,155
47.8215,0.792788,155
45.1675,0.860843,155
49.5644,1.0259,155
46.4509,0.746064,155
52.3281,0.738954,155
56.0451,0.931437,155
58.6453,1.54241,155
59.2994,0.932453,155
67.6469,0.985272,155
70.8054,1.37836,155
70.1314,0.896394,155
65.2779,1.5546,155
63.7862,0.924327,155
56.1607,0.937532,155
57.066,2.07974,155
61.6006,0.925851,155
60.811,0.769426,155
66.203,1.26765,155
68.572,1.85729,155
61.8319,0.85678,155
63.7862,0.699848,155
57.4608,1.20213,155
72.715,1.02844,155
73.915,1.03403,155
74.6089,1.05739,155
75.6777,0.703911,155
75.5142,0.905028,155
76.3716,1.12087,155
78.9422,1.43626,155
80.5371,1.13966,155
85.0948,1.85983,155
77.8734,0.673438,155
82.4112,0.875063,155
82.9696,1.63281,155
88.3862,1.28441,155
89.3593,1.3164,155
87.8602,0.749619,155
90.0134,0.916709,155
91.2684,1.5292,155
92.2893,1.22905,155
94.2311,1.05688,155
96.2563,1.41239,155
101.164,1.37684,155
98.0299,0.635348,155
97.8664,1.01524,155
99.7206,0.608431,155
100.279,1.06044,155
100.51,0.688167,155
104.286,0.908075,155
110.048,1.30117,155
102.07,1.07263,155
106.483,0.898933,155
106.483,0.939563,155
110.69,1.4322,155
110.69,1.4322,155
114.49,1.09954,155
109.442,1.3225,155
106.81,1.6841,155
109.326,0.800914,155
112.719,0.746572,155
111.499,0.810056,155
113.701,0.749619,155
118.072,1.92534,155
117.282,0.731336,155
119.088,1.03555,155
116.117,0.918233,155
121.106,2.07974,155
119.32,0.810056,155
123.383,1,155
120.452,0.879126,155
116.281,1.82986,155
124.923,1.00254,155
125.202,0.675978,155
126.347,0.54901,155
128.185,1.516,155
129.936,1.84662,155
130.1,1.00457,155
132.015,2.07974,155
132.824,1.04622,155
138.834,1.18639,155
137.649,1.36414,155
136.927,1.04825,155
142.015,0.855256,155
143.247,0.931437,155
140.345,1.66684,155
143.854,1.01524,155
144.508,1.06399,155
145.393,1.14576,155
146.872,1.43118,155
147.527,1.44388,155
152.28,1.07009,155
154.302,1.63382,155
150.633,1.06856,155
151.096,1.15998,155
